Tamanho da lista,Tempo Médio (s),
500,0.003873510000994429,Desordenada
1000,0.016671499994117767,Desordenada
1500,0.03856568000046536,Desordenada
2000,0.07021183000179007,Desordenada
3000,0.1548082300054375,Desordenada
500,0.003949229989666491,Desordenada
1000,0.01723263001185842,Desordenada
1500,0.038777820009272546,Desordenada
2000,0.06775914999307134,Desordenada
3000,0.15584552000509574,Desordenada
500,0.003950830007670447,Desordenada
1000,0.017085050005698578,Desordenada
1500,0.039276579988654706,Desordenada
2000,0.0672869699948933,Desordenada
3000,0.15582307999720796,Desordenada
500,0.003853139985585585,Desordenada
1000,0.016837629996007308,Desordenada
1500,0.03931660001981072,Desordenada
2000,0.06672049000044353,Desordenada
3000,0.1553416000038851,Desordenada
500,0.004015110002364963,Desordenada
1000,0.017180159996496514,Desordenada
1500,0.038803419994655995,Desordenada
2000,0.07072034000884742,Desordenada
3000,0.15449217999703252,Desordenada
500,0.0039053500047884883,Desordenada
1000,0.016772140009561554,Desordenada
1500,0.03946172000141814,Desordenada
2000,0.06936374000506476,Desordenada
3000,0.1564698999922257,Desordenada
500,0.003881619998719543,Desordenada
1000,0.01675696999882348,Desordenada
1500,0.039594949997263026,Desordenada
2000,0.0688924899965059,Desordenada
3000,0.16368197999545372,Desordenada
500,0.00401389998733066,Desordenada
1000,0.017066220007836818,Desordenada
1500,0.039018309995299205,Desordenada
2000,0.07118360999738797,Desordenada
3000,0.16018475998425857,Desordenada
500,0.008192909992067144,Desordenada
1000,0.017641349998302757,Desordenada
1500,0.03879703999846242,Desordenada
2000,0.06816448999452404,Desordenada
3000,0.15328048999072053,Desordenada
500,0.00403348000254482,Desordenada
1000,0.017158939997898415,Desordenada
1500,0.03811860997811891,Desordenada
2000,0.06748953000060283,Desordenada
3000,0.15334017999703065,Desordenada
500,0.003906790009932592,Desordenada
1000,0.016697500011650844,Desordenada
1500,0.03809695999370888,Desordenada
2000,0.07013409998617134,Desordenada
3000,0.1602537399972789,Desordenada
500,0.0038272300036624072,Desordenada
1000,0.016447339998558165,Desordenada
1500,0.03841249999823049,Desordenada
2000,0.06867013999726623,Desordenada
